Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,UNSD Geographical Grouping
Incident,2016,July,Unknown,Mediterranean,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,July,Unknown,Mediterranean,Unknown,4.0,0,4,10,0,0,2,Drowning,Central Mediterranean,Uncategorized
Incident,2016,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,July,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Split Incident,2016,July,Sub-Saharan Africa (P),Mediterranean,"Tunisia,Unknown",120.0,0,120,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2016,July,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,3.0,0,3,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Northern Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,3.0,0,3,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Northern Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Northern Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,2.0,0,2,0,0,0,0,Mixed or unknown,,Northern Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Northern Africa
Incident,2016,July,Unknown,Western Africa,Unknown,1.0,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Western Africa
Incident,2016,July,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,July,Unknown,Western Africa,Unknown,1.0,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Western Africa
Incident,2016,July,Unknown,Western Africa,Unknown,10.0,0,10,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Western Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,6.0,0,6,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,6.0,0,6,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Central America,Central America,Honduras,1.0,0,1,0,0,1,0,Mixed or unknown,,Central America
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Central America,North America,Guatemala,1.0,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Central America,Central America,Honduras,1.0,0,1,0,0,1,0,Mixed or unknown,,Central America
Incident,2016,August,Central America,North America,Mexico,1.0,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Unknown,Central America,Unknown,10.0,0,10,0,1,9,0,Drowning,,Central America
Incident,2016,August,Mixed,Mediterranean,Mixed,21.0,0,21,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2016,August,Central America,Central America,Honduras,2.0,0,2,0,0,2,0,Violence,,Central America
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,3.0,0,3,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Caribbean,Central America,Dominican Republic,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Central America
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Northern America
Incident,2016,August,Central America,Central America,Honduras,1.0,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2016,August,Unknown,Mediterranean,Unknown,1.0,0,1,182,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2016,August,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,0,0,Drowning,US-Mexico border crossing,Central America
Incident,2016,August,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Central America,Central America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Central America
Incident,2016,August,Latin America / Caribbean (P),Central America,Unknown,6.0,0,6,0,1,0,1,Mixed or unknown,Darien,South America
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Eastern Africa,Unknown,2.0,0,2,0,0,0,0,Violence,Sahara Desert crossing,Eastern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Unknown,Mediterranean,Unknown,,9,9,0,0,0,0,Drowning,Western Mediterranean,Uncategorized
Incident,2016,August,Central America,Central America,El Salvador,1.0,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Central America
Incident,2016,August,Central America,Central America,Mexico,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,,Eastern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Northern Africa,Mediterranean,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,Western Mediterranean,Uncategorized
Incident,2016,August,Unknown,Mediterranean,Unknown,1.0,0,1,0,1,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2016,August,Unknown,Mediterranean,Unknown,3.0,0,3,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2016,August,Central America,North America,Honduras,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Caribbean,South America,Haiti,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,South America
Incident,2016,August,Central America,Central America,Honduras,3.0,0,3,0,0,3,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2016,August,Northern Africa,Mediterranean,Morocco,,1,1,1,0,1,0,Drowning,Western Mediterranean,Uncategorized
Incident,2016,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,,Eastern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,7.0,0,7,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,3.0,0,3,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,8.0,0,8,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Western Asia,Mediterranean,Syrian Arab Republic,5.0,2,7,32,3,1,3,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Caribbean,South America,Haiti,1.0,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,,South America
Incident,2016,August,Caribbean,Central America,Cuba,1.0,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Darien,Central America
Incident,2016,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,,Eastern Africa
Incident,2016,August,Eastern Africa (P),Eastern Africa,Unknown,3.0,0,3,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Eastern Africa
Incident,2016,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,,Eastern Africa
Incident,2016,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,,Eastern Africa
Incident,2016,August,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Western Asia,Mediterranean,Syrian Arab Republic,1.0,2,3,12,1,0,0,Drowning,Eastern Mediterranean,Uncategorized
Incident,2016,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Northern America
Incident,2016,August,Northern Africa,Europe,Sudan,1.0,0,1,0,0,1,0,Violence,English Channel to the UK,Western Europe
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Western Africa,Mediterranean,"Côte d'Ivoire,Gambia,Guinea",,7,7,0,0,7,0,Drowning,Western Mediterranean,Uncategorized
Incident,2016,August,Western Asia,Western Asia,Syrian Arab Republic,1.0,0,1,0,1,0,0,Violence,,Western Asia
Incident,2016,August,Central America,North America,Nicaragua,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Southern Asia,Europe,Afghanistan,1.0,0,1,5,0,1,0,Violence,Western Balkans,Southern Europe
Incident,2016,August,Unknown,Mediterranean,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,August,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Northern America
Incident,2016,August,Sub-Saharan Africa (P),Mediterranean,Unknown,1.0,0,1,0,0,1,0,Drowning,Western Mediterranean,Uncategorized
Incident,2016,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Northern America
Incident,2016,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,August,Caribbean,South America,Cuba,1.0,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Darien,South America
Incident,2016,August,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2016,August,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2016,August,Unknown,Mediterranean,Unknown,2.0,0,2,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,August,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Northern America
Incident,2016,August,Eastern Africa,Eastern Africa,"Ethiopia,Somalia",3.0,0,3,14,0,0,0,Vehicle accident / death linked to hazardous transport,,Eastern Africa
Incident,2016,August,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Northern Africa
Incident,2016,August,Central America,Central America,"El Salvador,Guatemala,Honduras",6.0,0,6,26,5,1,5,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,Central America
Incident,2016,August,Unknown,Mediterranean,Unknown,3.0,0,3,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,August,Unknown,Mediterranean,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,August,Unknown,Northern Africa,Unknown,3.0,0,3,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,August,Unknown,Northern Africa,Unknown,5.0,0,5,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,August,Unknown,Western Africa,Unknown,7.0,0,7,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Western Africa
Incident,2016,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,August,Unknown,Northern Africa,Unknown,5.0,0,5,0,0,0,0,Violence,,Northern Africa
Incident,2016,August,Unknown,Northern Africa,Unknown,5.0,0,5,0,0,0,0,Sickness / lack of access to adequate healthcare,,Northern Africa
Incident,2016,August,Unknown,Western Africa,Unknown,7.0,0,7,0,0,0,0,Violence,Sahara Desert crossing,Western Africa
Incident,2016,August,Unknown,Northern Africa,Unknown,10.0,0,10,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,September,Oceania,Mediterranean,Papua New Guinea,1.0,0,1,1050,0,1,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,September,Central America,Central America,Honduras,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,Central America
Incident,2016,September,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),Central America,Unknown,3.0,0,3,0,0,0,1,Mixed or unknown,Darien,Central America
Incident,2016,September,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Unknown,Mediterranean,Unknown,3.0,0,3,931,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
Incident,2016,September,Unknown,Mediterranean,Unknown,7.0,0,7,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,September,Unknown,Mediterranean,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,September,Unknown,Mediterranean,Unknown,7.0,0,7,0,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2016,September,Unknown,Mediterranean,Unknown,5.0,0,5,250,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Sub-Saharan Africa (P),Europe,Unknown,1.0,0,1,0,0,1,0,Accidental death,Italy to France,Western Europe
Incident,2016,September,Unknown,Mediterranean,Unknown,4.0,0,4,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Caribbean,South America,Cuba,2.0,0,2,0,1,1,0,Violence,Darien,South America
Incident,2016,September,Central America,Central America,Honduras,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,Central America
Incident,2016,September,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,September,Unknown,Europe,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,,Southern Europe
Incident,2016,September,Unknown,Central America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
Incident,2016,September,Western Asia,Europe,Iraq,6.0,0,6,4,0,3,4,Drowning,Western Balkans,Eastern Europe
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Middle Africa,Central America,Congo,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Darien,Central America
Incident,2016,September,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Unknown,Mediterranean,Unknown,5.0,0,5,164,4,1,0,Mixed or unknown,Central Mediterranean,Uncategorized
Cumulative Incident,2016,September,Caribbean,South America,"Cuba,Unknown",20.0,0,20,0,0,0,0,Mixed or unknown,Darien,South America
Incident,2016,September,Unknown,Mediterranean,Unknown,1.0,0,1,750,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2016,September,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,,Eastern Africa
Incident,2016,September,Eastern Africa (P),Eastern Africa,Unknown,2.0,0,2,0,0,0,0,Mixed or unknown,,Eastern Africa
Incident,2016,September,Central America,Central America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Central America
Incident,2016,September,Southern Asia,Europe,Afghanistan,1.0,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,,Eastern Africa
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,25.0,0,25,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Southern Asia,Europe,Afghanistan,1.0,0,1,0,0,1,0,Violence,Western Balkans,Southern Europe
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Northern Africa,Mediterranean,Algeria,1.0,0,1,14,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Central Mediterranean,Uncategorized
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,3.0,0,3,0,0,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2016,September,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,,Eastern Africa
Incident,2016,September,Eastern Africa (P),Northern Africa,Unknown,7.0,0,7,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Northern Africa
Incident,2016,September,Mixed,Mediterranean,"Egypt,Eritrea,Sudan,Syrian Arab Republic",204.0,84,288,162,10,31,1,Drowning,Central Mediterranean,Uncategorized
Incident,2016,September,Unknown,Central America,Congo,1.0,0,1,0,1,0,0,Mixed or unknown,,Central America
Incident,2016,September,Central America,Central America,Honduras,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2016,September,Caribbean,Central America,Haiti,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,Central America
Incident,2016,September,Caribbean,Caribbean,Cuba,5.0,15,20,3,2,3,0,Drowning,Caribbean to US,Uncategorized
Incident,2016,September,Sub-Saharan Africa (P),Western Asia,Unknown,1.0,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,,Western Asia
Incident,2016,September,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,,Eastern Africa
Incident,2016,September,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Violence,,Eastern Africa
Incident,2016,September,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,0,0,Sickness / lack of access to adequate healthcare,,Eastern Africa
Incident,2016,September,Eastern Africa,Western Asia,Ethiopia,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Horn of Africa to Yemen crossing,Western Asia
Incident,2016,September,Northern Africa,Europe,Sudan,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2016,September,Central America,Central America,Mexico,,1,1,0,0,1,1,Drowning,US-Mexico border crossing,Central America
Incident,2016,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2016,September,Mixed,Mediterranean,Unknown,18.0,0,18,0,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2016,September,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
